Image_ID, Label_ID
vistel3_right_1.jpg, vistel3_right_1.txt
vistel16_left_1.jpg, vistel16_left_1.txt
vistel15_right_3.jpg, vistel15_right_3.txt
vistel3_right_4.jpg, vistel3_right_4.txt
vistel16_left_3.jpg, vistel16_left_3.txt
vistel16_left_5.jpg, vistel16_left_5.txt
vistel10_right_2.jpg, vistel10_right_2.txt
vistel16_right_1.jpg, vistel16_right_1.txt
vistel16_left_10.jpg, vistel16_left_10.txt
vistel10_left_2.jpg, vistel10_left_2.txt
vistel15_left_4.jpg, vistel15_left_4.txt
vistel16_right_5.jpg, vistel16_right_5.txt
vistel14_right_3.jpg, vistel14_right_3.txt
vistel0_left_0.jpg, vistel0_left_0.txt
vistel4_right_0.jpg, vistel4_right_0.txt
vistel14_left_1.jpg, vistel14_left_1.txt
vistel16_right_6.jpg, vistel16_right_6.txt
vistel13_left_2.jpg, vistel13_left_2.txt
vistel16_right_11.jpg, vistel16_right_11.txt
vistel13_left_0.jpg, vistel13_left_0.txt
vistel13_right_0.jpg, vistel13_right_0.txt
vistel16_right_10.jpg, vistel16_right_10.txt
vistel3_left_2.jpg, vistel3_left_2.txt
vistel16_left_4.jpg, vistel16_left_4.txt
vistel17_right_0.jpg, vistel17_right_0.txt
vistel0_right_0.jpg, vistel0_right_0.txt
vistel10_right_3.jpg, vistel10_right_3.txt
vistel0_right_1.jpg, vistel0_right_1.txt
vistel16_left_8.jpg, vistel16_left_8.txt
vistel2_right_1.jpg, vistel2_right_1.txt
vistel15_right_2.jpg, vistel15_right_2.txt
vistel10_left_1.jpg, vistel10_left_1.txt
vistel16_left_0.jpg, vistel16_left_0.txt
vistel4_right_5.jpg, vistel4_right_5.txt
vistel13_right_1.jpg, vistel13_right_1.txt
vistel4_right_3.jpg, vistel4_right_3.txt
vistel3_left_1.jpg, vistel3_left_1.txt
vistel13_right_2.jpg, vistel13_right_2.txt
vistel13_left_1.jpg, vistel13_left_1.txt
vistel17_left_2.jpg, vistel17_left_2.txt
vistel10_left_0.jpg, vistel10_left_0.txt
vistel13_right_4.jpg, vistel13_right_4.txt
vistel14_right_1.jpg, vistel14_right_1.txt
vistel10_right_0.jpg, vistel10_right_0.txt
vistel16_right_4.jpg, vistel16_right_4.txt
vistel15_right_0.jpg, vistel15_right_0.txt
vistel4_right_1.jpg, vistel4_right_1.txt
vistel16_left_9.jpg, vistel16_left_9.txt
vistel4_right_2.jpg, vistel4_right_2.txt
vistel15_left_0.jpg, vistel15_left_0.txt
vistel16_right_3.jpg, vistel16_right_3.txt
vistel17_left_0.jpg, vistel17_left_0.txt
vistel16_right_7.jpg, vistel16_right_7.txt
vistel2_right_2.jpg, vistel2_right_2.txt
vistel10_left_3.jpg, vistel10_left_3.txt
vistel4_right_4.jpg, vistel4_right_4.txt
vistel17_left_1.jpg, vistel17_left_1.txt
vistel4_left_4.jpg, vistel4_left_4.txt
vistel14_right_2.jpg, vistel14_right_2.txt
vistel10_right_1.jpg, vistel10_right_1.txt
vistel0_left_1.jpg, vistel0_left_1.txt
vistel17_right_3.jpg, vistel17_right_3.txt
vistel15_left_1.jpg, vistel15_left_1.txt
